0.5484965396300235 1:0.7117117117117117 2:0.6666666666666666 3:0.7500000000000000 4:0.7500000000000000 5:0.6944444444444444 6:0.6697459584295612 7:3.4117647058823530 8:1.5000000000000000 9:0.9333333333333333 10:0.6334841628959276 11:0.9253731343283582 12:0.6853146853146853 13:0.7076461769115442 14:0.7129032258064516 15:0.7384615384615385 16:0.7104895104895105 17:0.1494252873563218 18:0.2467586206896552 19:0.7837587898724249 20:0.7221619749823006 21:0.7708672861578351 22:0.7837254733606323 23:0.7652824484158148 24:0.5603526076525609 25:0.4740381182158351 26:0.4132030552951289 27:0.0000000000000000 28:0.3461514836994564 29:7.2443709270071700 30:7.8816991647441630
0.0828966805638629 1:0.3184523809523809 2:0.3783783783783784 3:0.5405405405405406 4:0.4594594594594595 5:0.3783783783783784 6:0.3381642512077295 7:9.6666666666666660 8:0.9876543209876543 9:1.0540540540540540 10:0.3982300884955752 11:0.6129032258064516 12:0.3471074380165289 13:0.3446244477172312 14:0.3601895734597156 15:0.4090909090909091 16:0.3360881542699725 17:-0.1020080321285141 18:-0.0861660079051383 19:0.4219459635523439 20:0.4318300090621630 21:0.4708019806972795 22:0.4577913589159608 23:0.4004087343468342 24:0.0780219361473170 25:0.0319237005262638 26:0.0089532701519068 27:35.0000000000000000 28:0.2703708394595771 29:6.5259884135874815 30:7.1866669946017270
0.4249270603395552 1:0.5785953177257525 2:0.5862068965517241 3:0.7586206896551724 4:0.7241379310344828 5:0.6206896551724138 6:0.5721784776902887 7:1.9642857142857142 8:1.6000000000000000 9:0.9670329670329670 10:0.5544554455445545 11:1.2272727272727273 12:0.5611285266457681 13:0.5776293823038398 14:0.5892857142857143 15:0.6781609195402298 16:0.5673981191222570 17:0.2826011157601115 18:0.2591463414634146 19:0.5946030207421356 20:0.5475082763841714 21:0.6353174171588131 22:0.6091439937897972 23:0.5687177491817876 24:0.2313963676755828 25:0.1215392976134613 26:0.0285087719298246 27:37.0000000000000000 28:0.2982504132646932 29:6.5963490220949650 30:7.0966783927938780
-0.0870454550204721 1:0.5785953177257525 2:0.5862068965517241 3:0.7586206896551724 4:0.7241379310344828 5:0.6206896551724138 6:0.5721784776902887 7:1.9642857142857142 8:1.6000000000000000 9:0.9670329670329670 10:0.5544554455445545 11:1.2272727272727273 12:0.5611285266457681 13:0.5776293823038398 14:0.5892857142857143 15:0.6781609195402298 16:0.5673981191222570 17:0.3262519094109052 18:0.3017727010283539 19:0.5946030207421356 20:0.5475082763841714 21:0.6353174171588131 22:0.6091439937897972 23:0.5687177491817876 24:0.2313963676755828 25:0.1215392976134613 26:0.0285087719298246 27:32.0000000000000000 28:0.2708375071914984 29:6.5963490220949650 30:7.0966783927938780
0.4592964751039856 1:0.5785953177257525 2:0.5862068965517241 3:0.7586206896551724 4:0.7241379310344828 5:0.6206896551724138 6:0.5721784776902887 7:2.2253521126760565 8:1.7176470588235293 9:1.0352941176470590 10:0.5544554455445545 11:1.7407407407407407 12:0.5611285266457681 13:0.5776293823038398 14:0.5892857142857143 15:0.6781609195402298 16:0.5673981191222570 17:0.3003633999566587 18:0.2938823150607744 19:0.5946030207421356 20:0.5475082763841714 21:0.6353174171588131 22:0.6091439937897972 23:0.5687177491817876 24:0.2313963676755828 25:0.1215392976134613 26:0.0285087719298246 27:35.0000000000000000 28:0.2337400019002687 29:6.4637257811588990 30:6.9616180471790180
0.0795518374201553 1:0.3184523809523809 2:0.3783783783783784 3:0.5405405405405406 4:0.4594594594594595 5:0.3783783783783784 6:0.3381642512077295 7:9.6666666666666660 8:0.9876543209876543 9:1.0540540540540540 10:0.3982300884955752 11:0.6129032258064516 12:0.3471074380165289 13:0.3446244477172312 14:0.3601895734597156 15:0.4090909090909091 16:0.3360881542699725 17:-0.1020080321285141 18:-0.0792079207920792 19:0.4219459635523439 20:0.4318300090621630 21:0.4708019806972795 22:0.4577913589159608 23:0.4004087343468342 24:0.0780219361473170 25:0.0319237005262638 26:0.0089532701519068 27:36.0000000000000000 28:0.3032483863411359 29:6.5259884135874815 30:7.1866669946017270
0.1903872352712640 1:0.3184523809523809 2:0.3783783783783784 3:0.5405405405405406 4:0.4594594594594595 5:0.3783783783783784 6:0.3381642512077295 7:9.6666666666666660 8:0.9876543209876543 9:1.0540540540540540 10:0.3982300884955752 11:0.6129032258064516 12:0.3471074380165289 13:0.3446244477172312 14:0.3601895734597156 15:0.4090909090909091 16:0.3360881542699725 17:-0.1020080321285141 18:-0.0792079207920792 19:0.4219459635523439 20:0.4318300090621630 21:0.4708019806972795 22:0.4577913589159608 23:0.4004087343468342 24:0.0780219361473170 25:0.0319237005262638 26:0.0089532701519068 27:36.0000000000000000 28:0.3032483863411359 29:6.5259884135874815 30:7.1866669946017270
0.0681790082030629 1:0.3192982456140351 2:0.3333333333333333 3:0.4166666666666667 4:0.3888888888888889 5:0.3611111111111111 6:0.1964285714285714 7:9.6666666666666660 8:0.9876543209876543 9:1.0638297872340425 10:0.3195592286501378 11:0.4800000000000000 12:0.3074380165289256 13:0.3065953654188948 14:0.3044315992292871 15:0.3393939393939394 16:0.3173553719008265 17:0.1380820654679576 18:0.1140609636184857 19:0.4621880032666079 20:0.4836968968803350 21:0.4593027607890961 22:0.4679900667657979 23:0.4573836918308115 24:0.1272328137714650 25:0.0502145969891679 26:0.0264581931216560 27:36.0000000000000000 28:0.2558410295192317 29:6.1465397553504160 30:6.6944247424549160
0.1763724972006630 1:0.3184523809523809 2:0.3783783783783784 3:0.5405405405405406 4:0.4594594594594595 5:0.3783783783783784 6:0.3381642512077295 7:7.2500000000000000 8:0.9473684210526315 9:1.0540540540540540 10:0.3982300884955752 11:0.6129032258064516 12:0.3471074380165289 13:0.3446244477172312 14:0.3601895734597156 15:0.4090909090909091 16:0.3360881542699725 17:-0.1080000000000000 18:-0.0861932938856016 19:0.4219459635523439 20:0.4318300090621630 21:0.4708019806972795 22:0.4577913589159608 23:0.4004087343468342 24:0.0780219361473170 25:0.0319237005262638 26:0.0089532701519068 27:35.0000000000000000 28:0.2794311462476036 29:6.5574377652448500 30:7.2027125555692155
0.1763724972006630 1:0.3333333333333333 2:0.3783783783783784 3:0.5675675675675675 4:0.4594594594594595 5:0.3783783783783784 6:0.3731343283582090 7:5.6666666666666670 8:1.0227272727272727 9:1.0277777777777777 10:0.4429530201342282 11:0.7076923076923077 12:0.3250688705234160 13:0.3604135893648449 14:0.3746031746031746 15:0.4343434343434344 16:0.3333333333333333 17:-0.1019762845849802 18:-0.0813725490196078 19:0.4465636286461561 20:0.4371278166534142 21:0.5040893746727307 22:0.4842014035662798 23:0.4183374836459461 24:0.0750425354142810 25:0.0319237005262638 26:0.0089532701519068 27:36.0000000000000000 28:0.2575507783303011 29:6.6207053081765770 30:7.2833252968558280
0.1255150688567859 1:0.4029411764705882 2:0.4594594594594595 3:0.5675675675675675 4:0.5405405405405406 5:0.4594594594594595 6:0.3194103194103194 7:3.6000000000000000 8:1.1750000000000000 9:1.0303030303030303 10:0.4594594594594595 11:0.5116279069767442 12:0.4022038567493113 13:0.4309063893016345 14:0.4262820512820513 15:0.3787878787878788 16:0.4242424242424242 17:-0.0179617526022755 18:-0.0053703262681591 19:0.4894438138483200 20:0.5394857228955343 21:0.5263348857454004 22:0.5275051675288650 23:0.4847829461838552 24:0.1200680566628496 25:0.0513283028069340 26:0.0184491627372625 27:26.0000000000000000 28:0.3627460143538106 29:6.8224180544081120 30:7.4774200003218140
